id,title,category,description,location,availability_start,availability_end,condition,rating
263,USB Drive,Electronics,A excellent usb drive for electronics use.,Seattle,2024-06-25,2024-09-16,new,5.0
264,Food Processor,Kitchen,A poor food processor for kitchen use.,Austin,2024-04-29,2024-08-07,new,4.4
265,Soccer Ball,Sports,A poor soccer ball for sports use.,San Francisco,2024-05-28,2024-09-06,poor,1.0
266,Saw,Tools,A poor saw for tools use.,New York,2024-10-01,2025-03-30,new,5.0
267,USB Drive,Electronics,A good usb drive for electronics use.,San Francisco,2024-05-04,2025-01-11,new,5.0
268,Frying Pan,Kitchen,A fair frying pan for kitchen use.,Atlanta,2024-06-23,2025-03-10,poor,1.0
269,Tape Measure,Tools,A good tape measure for tools use.,New York,2024-04-01,2024-10-02,new,5.0
270,Bicycle,Sports,A fair bicycle for sports use.,Los Angeles,2024-01-20,2024-02-20,good,3.4
271,Portable Speaker,Electronics,A good portable speaker for electronics use.,Denver,2024-11-12,2025-08-22,poor,1.0
272,Microwave,Kitchen,A excellent microwave for kitchen use.,Seattle,2024-11-27,2025-03-23,good,2.2
273,Soccer Ball,Sports,A new soccer ball for sports use.,New York,2024-02-04,2024-09-27,good,2.1
274,Golf Clubs,Sports,A good golf clubs for sports use.,New York,2024-01-25,2024-07-02,new,5.0
275,Saw,Tools,A new saw for tools use.,Atlanta,2024-01-01,2024-02-09,poor,1.0
276,Badminton Set,Sports,A poor badminton set for sports use.,New York,2024-11-13,2025-11-07,new,5.0
277,Camera,Electronics,A new camera for electronics use.,Denver,2024-07-13,2025-05-29,excellent,3.8
278,The Great Gatsby,Books,A new the great gatsby for books use.,Chicago,2024-04-16,2025-03-09,fair,1.1
279,Camera,Electronics,A good camera for electronics use.,San Francisco,2024-11-06,2025-06-14,excellent,3.7
280,Level,Tools,A good level for tools use.,Miami,2024-05-13,2024-11-07,poor,1.3
281,Pride and Prejudice,Books,A new pride and prejudice for books use.,Chicago,2024-01-19,2024-06-11,good,3.2
282,Mixing Bowls,Kitchen,A fair mixing bowls for kitchen use.,Los Angeles,2024-12-13,2025-03-10,new,5.0
283,Saw,Tools,A new saw for tools use.,Denver,2024-03-03,2024-06-23,fair,1.8
284,Jane Eyre,Books,A new jane eyre for books use.,Los Angeles,2024-10-16,2025-08-30,good,3.1
285,1984,Books,A new 1984 for books use.,Miami,2024-07-31,2024-09-29,good,2.8
286,To Kill a Mockingbird,Books,A new to kill a mockingbird for books use.,Miami,2024-01-26,2024-07-02,new,5.0
287,Laptop,Electronics,A fair laptop for electronics use.,Los Angeles,2024-04-05,2024-06-17,poor,1.2
288,Tablet,Electronics,A poor tablet for electronics use.,Seattle,2024-02-27,2024-08-28,fair,1.7
289,To Kill a Mockingbird,Books,A fair to kill a mockingbird for books use.,Austin,2024-10-05,2025-08-25,poor,1.3
290,Electric Drill,Tools,A excellent electric drill for tools use.,Los Angeles,2024-09-16,2025-01-01,excellent,4.3
291,Tablet,Electronics,A new tablet for electronics use.,Miami,2024-04-30,2025-01-27,good,3.0
292,Electric Kettle,Kitchen,A excellent electric kettle for kitchen use.,New York,2024-04-29,2024-10-05,new,5.0
293,Tennis Racket,Sports,A good tennis racket for sports use.,Miami,2024-11-06,2025-06-22,new,5.0
294,External Hard Drive,Electronics,A poor external hard drive for electronics use.,Seattle,2024-10-19,2025-10-04,good,2.4
295,Blender,Kitchen,A poor blender for kitchen use.,Chicago,2024-03-15,2025-02-13,fair,2.3
296,Fahrenheit 451,Books,A good fahrenheit 451 for books use.,Los Angeles,2024-11-11,2025-09-03,good,3.3
297,Electric Kettle,Kitchen,A excellent electric kettle for kitchen use.,San Francisco,2024-01-31,2024-08-10,good,3.3
298,Fahrenheit 451,Books,A excellent fahrenheit 451 for books use.,Seattle,2024-05-12,2025-03-27,excellent,4.2
299,Badminton Set,Sports,A good badminton set for sports use.,Boston,2024-03-30,2024-10-08,fair,2.4
300,Utility Knife,Tools,A fair utility knife for tools use.,Seattle,2024-04-26,2025-02-04,good,2.6
301,tenis racket,Tools & Equipment,brand yonex,new jersey,2025-09-18,2025-09-19,Excellent,0.0
302,tenis racket,Tools & Equipment,brand: yonex ,new jersey,2025-09-18,2025-09-19,Good,3.0
303,soccer shoes,Sports,adidas predator ,Texas,2025-09-18,2025-09-20,Good,4.0
